sentence,intent,category
지금 배달되나요?,배달가능문의,배달음식점
짬뽕류는 어떤 게 있나요? 잘 나가는 짬뽕 있나요?,베스트메뉴문의추천요청,배달음식점
전복 들어가는 거는 특해물 짬뽕 시켜야 돼요?,메뉴정보문의,배달음식점
전복 들어가고 여러 가지 또 딴 것도 들어가죠?,메뉴정보문의,배달음식점
마차이 짬뽕밥은 돼지고기 들어가나요?,메뉴정보문의,배달음식점
여기 칠성동 1가인데 배달되나요?,배달장소범위문의,배달음식점
중국집 명성루죠? 배달 지금 가능한가요?,배달가능문의,배달음식점
주로 어떤 게 잘 나가요?,베스트메뉴문의추천요청,배달음식점
4인이 먹을 수 있을까요?,양에대한질문,배달음식점
중자는 얼마에요?,가격문의,배달음식점
탕수육에 들어가는 고기가 돼지고기죠?,식재료문의,배달음식점
그럼 국내산 쓰나요?,원산지문의,배달음식점
근데 칠리 탕수육도 있고 사천 탕수육도 있던데 어떤 게 나아요?,메뉴차이문의,배달음식점
그러면 4인 가족이면 탕수육 하나에 딴 거 어떤 거 시켜요?,취향에따른메뉴추천요구,배달음식점
해물짬뽕에 어떤 거 들어가요?,식재료문의,배달음식점
예 얼마 정도 해요?,가격문의,배달음식점
그러면 저희가 이거 지금 주문하면 몇 분 있으면 도착할까요?,배달시간문의,배달음식점
지금 배달 가능한가요?,배달가능문의,배달음식점
네 제가 지금 전단지 보고 전화드리는 건데 삼선짬뽕에 들어가는 해물은 어떤 거 있어요?,식재료문의,배달음식점
얼큰이 짬뽕은 어떤 게 맵기가?,맛에대한질문,배달음식점
고기짬뽕은 돼지고기 들어가나요?,식재료문의,배달음식점
전부 국산이에요?,원산지문의,배달음식점
잘 나가고 빨리 오는 짬뽕 종류는 메뉴가 어떤 거예요?,빨리되는메뉴문의,배달음식점
세트 메뉴로 3인 가족이 먹을 수 있는거 소개해 주시겠어요?,세트메뉴종류문의,배달음식점
해물 짬뽕 세트는 얼마에요?,가격문의,배달음식점
아 그러면 배달비도 따로 내야 되나요?,배달비문의,배달음식점
수고하십니다 죄송하지만 배달되나요?,배달가능문의,배달음식점
짬뽕이나 간짜장 중에 어떤 게 잘 나가나요?,베스트메뉴문의추천요청,배달음식점
배달 몇 시부터 몇 시까지 하시는데요?,배달시간문의,배달음식점
그러면 쟁반 야끼우동에 해물이 어떤 거 들어가는지 여쭤보려고 하는데,식재료문의,배달음식점
수고하십니다 반점이죠?,매장확인,배달음식점
배달 가능한가요?,배달가능문의,배달음식점
메뉴로 어떤 게 있어요?,메뉴문의,배달음식점
그러면 주로 어떤 거 시키나요 사람들이?,베스트메뉴문의추천요청,배달음식점
아 그러면 세트 메뉴는 따로?,세트메뉴종류문의,배달음식점
세트 메뉴로 된 거는 가격이 얼마에요?,가격문의,배달음식점
그러면 탕수육이 4인 가족이 먹을 수 있나요 세트 메뉴로 시키면?,양에대한질문,배달음식점
아 그거 시키고 다른 거 또 시켜야 돼요?,양에대한질문,배달음식점
지금 안에 들어가는 게 돼지고기죠?,식재료문의,배달음식점
국내산 쓰나요 아니면 수입산 쓰나요?,원산지문의,배달음식점
그러면 배달비는 따로 드려야 돼요?,배달비문의,배달음식점
그러면 배달 몇 시까지 해요?,클로징시간문의,배달음식점
몇 시에 문 닫아요?,클로징시간문의,배달음식점
그러면 계산할 때 현금하고 카드만 돼요?,결제방식선택,배달음식점
중국집 아닌가요 반점?,매장확인,배달음식점
배달되나요?,배달가능문의,배달음식점
아 그러면 몇 시까지 배달하시는데요?,클로징시간문의,배달음식점
주로 뭐 잘 나가요? 빨리 나올 수 있는 요리가 있나요?,베스트메뉴문의추천요청,배달음식점
그거는 가격이 얼마에요?,가격문의,배달음식점
그거는 몇 인분이에요?,양에대한질문,배달음식점
그러면 배달을 몇 시부터 몇 시까지?,영업시간문의,배달음식점
배달비는 따로 드려야 되나요?,배달비문의,배달음식점
그러면 짬뽕은 한 그릇에 얼마나 해요?,가격문의,배달음식점
해산물은 어떤 거 들어가요?,식재료문의,배달음식점
그러면 세트메뉴도 있어요 짬뽕 들어간 세트메뉴?,세트메뉴종류문의,배달음식점
그러면 4인 가족이 먹을 수 있는 걸로 짬뽕이랑 섞여서 가격대는 얼마 정도 지불해야 돼요?,가격문의,배달음식점
수고하십니다 반점이죠 배달 가능한가요?,배달가능문의,배달음식점
짬뽕 종류는 어떤 게 있어요?,메뉴문의,배달음식점
가격대는 얼마부터 얼마까지 있어요?,가격문의,배달음식점
그러면 제일 빨리 나오는 게 어떤 짬뽕이에요?,빨리되는메뉴문의,배달음식점
그러면 4인 가족이 시켜 먹으려고 하는데 짬뽕 어떻게 시키나요 세트 메뉴도 있나요?,메뉴문의,배달음식점
중자에 다른 거는 뭐 안 시켜도 되나요?,메뉴추가문의요청,배달음식점
아 네 그러면 탕수육 돼지고기가 국산이죠?,원산지문의,배달음식점
아 그러면 면은 수타에요?,만드는방법문의,배달음식점
배달비는 따로 드려야 돼요?,배달비문의,배달음식점
저희 다음 주 중에 학교에 배달하려고 하는데요 초등학교 3학년인데 어떤 피자가 좋아요?,취향에따른메뉴추천요구,배달음식점
20명 되는데 몇 판정도 하면 되지요?,양에대한질문,배달음식점
두 조각 정도 먹게 해야 하지 않겠어요? 초등학교 3학년인데,양에대한질문,배달음식점
선생님은 별도로 시키려구요,메뉴추가문의요청,배달음식점
혹시 도우 두께라든지 치즈는?,식재료문의,배달음식점
선생님은 어떤 거 많이 나가죠? 어른들 좋아하는 거,취향에따른메뉴추천요구,배달음식점
사이즈는 라지로 다 하면 되죠?,양에대한질문,배달음식점
음료수는 따로 주문해야 되지요?,음료주문,배달음식점
카드로 하는 거하고 현금으로 하는 거 하고 똑같아요?,결제방식선택,배달음식점
할인 쿠폰이나 적립 카드 이런 건 있어요?,할인쿠폰적립카드문의,배달음식점
그러면 그거 10개 모으면은 또,적립쿠폰사용방법문의,배달음식점
배달료는 따로 받으세요?,배달비문의,배달음식점
종이컵도 따로 오는가요?,종이컵문의,배달음식점
앱으로 주문도 할 수 있나요?,앱문의,배달음식점
그럼 콜라 추가로는 얼마예요?,음료추가가격문의,배달음식점
현금으로 하지 싶은데 그럼 자동이체 하면 되겠다,결제방식선택,배달음식점
거기 하양점이지요?,매장확인,배달음식점
제가 다음주에 개학 하고 난 다음에 주중에 목요일이나 금요일에 학교에 피자 좀 돌리려고 하는데,식사배달요청,배달음식점
네 초등학교 3학년인데 피자 추천하는 메뉴가 있어요?,취향에따른메뉴추천요구,배달음식점
슈퍼수프림은 위에 뭐 들어가요?,식재료문의,배달음식점
도우 두께나 그런 거는요?,식재료문의,배달음식점
불고기피자는 뭐 들어가요?,식재료문의,배달음식점
불고기는 그러면 국내산은 아니죠?,원산지문의,배달음식점
가공한 거네요 고기 자체가 아니고,식재료문의,배달음식점
그러면 20명 정도 먹으려면 몇 판 정도 하면 되겠어요?,양에대한질문,배달음식점
저희 선생님은 따로 하려고 하는데 선생님 5분 되면은?,양에대한질문,배달음식점
종류는 어떤 게 많이 나가나요? 여자 선생님이거든요,취향에따른메뉴추천요구,배달음식점
블랙앵거스는 어떤 거 들어가지요?,식재료문의,배달음식점
그거는 도우 두께 정할 수 있나요?,식재료문의,배달음식점
피자 옆에 치즈 테두리에 들어가는 거는?,식재료문의,배달음식점
얼마나 더해지나요?,메뉴추가문의요청,배달음식점
그게 라지 사이즈인거죠 말씀하시는 게?,식사배달요청,배달음식점
배달하면 배달료 따로 붙나요?,배달비문의,배달음식점
그럼 할인은 혹시 됩니까?,할인정보문의,배달음식점
만약에 통신사 카드 없이는 할인 안되는가요?,할인정보문의,배달음식점
가서 가지러 가면요?,포장시할인문의,배달음식점
혹시 음료수는 어떻게 돼요?,음료주문,배달음식점
페트병인가요?,음료주문,배달음식점
페트병은 얼마인가요?,음료추가가격문의,배달음식점
카카오페이는 결제가 되는가요?,카카오페이삼성페이결제,배달음식점
앱으로 배달하면 할인되고 그런 거 있어요?,앱주문할인문의,배달음식점
전화로 하는 거나 앱으로 하는 거나 똑같은 거예요?,할인방법문의,배달음식점
그러면 찾으러 가는게 할인 많이 되네요?,할인방법문의,배달음식점
아침 몇 시에 문 열어요?,오픈시간문의,배달음식점
토요일은 하세요,휴일문의,배달음식점
프라이드 세 마리하고 양념 두 마리 하면 얼마죠?,가격문의,배달음식점
배달하고 포장하고 가격은 달라요?,배달과포장가격차이문의,배달음식점
그러면 포장은 얼마인가요? ,포장가격문의,배달음식점
