sentence,intent,category
삼겹살 1근에 얼마에요?,가격 문의,정육점
넷이 먹을건데 2근이면 되나요?,0인분 용량 문의,정육점
그럼 2근주세요,용량별 고기 주문,정육점
살코기 위주로 주시겠어요?,지방 비율,정육점
그리고 한근씩 따로 포장해주세요,포장방법 요청,정육점
오늘은 어떤 고기가 괜찮아요?,인기부위 문의주문,정육점
그럼 뒷다리로 주세요,부위별 고기 주문,정육점
한우인가요?,원산지 문의,정육점
네 장조림용 고기도 500g만 주실 수 있을까요?,용도별 고기 주문,정육점
다 따로 포장해주세요,포장방법 요청,정육점
LA갈비용 소갈비 있나요?,용도별 고기 문의,정육점
호주산도 있나요?,원산지 문의,정육점
호주산으로 1킬로 주세요,품종별 고기 요청,정육점
쿠폰이랑 같이 계산해 주세요,쿠폰 결제 요청,정육점
소고기 안심 있나요?,부위별 고기 주문,정육점
한우 맞나요?,국산 고기 요청,정육점
안심2인분이랑 국거리 조금 주세요.,용도+고기 부위 주문,정육점
현금으로 할게요.,쿠폰 결제 요청,정육점
겨울엔 사골국이 최고인거 같아요 ,용도별 고기 주문,정육점
네 잡뼈도 있나요?,부위별 고기 주문,정육점
스지도 있나요? ,특수부위 문의주문,정육점
대략 한번 끓일때 몇시간 끓이나요 ,조리법 문의,정육점
얼마인가요?,가격 문의,정육점
앞다리살 한 근 얼마인가요?,가격 문의,정육점
그럼 반 근만 썰어 주세요,고기 썰기 주문,정육점
한우 국거리는 어디 있나요?,용도별 고기 주문,정육점
이건 한 근에 얼마죠?,가격 문의,정육점
그럼 이것도 한 근만 주시겠어요?,용량별 고기 주문,정육점
찌개용 돼지고기 있나요?,용도별 고기 주문,정육점
찌개용은 어떤 부위인가요?,용도별 고기 문의,정육점
한 근에 얼마예요?,가격 문의,정육점
썰어주시나요?,고기 썰기 주문,정육점
냉장고기인가요?,보관상태 문의,정육점
한 근만 살 수 있나요?,용량별 고기 주문,정육점
국거리용 한우 있나요?,용도별 고기 주문,정육점
도매로도 살 수 있나요?,도매 주문 문의,정육점
어떤 부위가 가장 맛있나요?,인기부위 문의주문,정육점
호주산인가요?,원산지 문의,정육점
대패삼겹살을 판매하나요?,부위별 고기 주문,정육점
국내산으로 주세요.,원산지 문의,정육점
따로 파지도 팔고 있나요?,특수부위 문의주문,정육점
"네, 결제해 주세요.",결제 요청,정육점
장조림 하려고 하는데 어떤 고기가 좋을까요?,용도별 고기 문의,정육점
홍두깨살 가격이 어떻게 되나요?,가격 문의,정육점
어떻게 잘라가는게 좋을까요?,고기 썰기 주문,정육점
삼성페이 결제되나요?,카카오페이삼성페이 문의,정육점
영수증은 버려주세요,영수증 처리 요청,정육점
소고기를 사려고 하는데 소고기부위 중 어느것이 맛이있나요?,인기부위 문의주문,정육점
그럼 이렇게 3개 사면 얼마인가요?,가격 문의,정육점
이렇게 5개 살게요,부위별 고기 주문,정육점
추가적으로 돼지고기도 파나요?,부위별 고기 주문,정육점
네 그럼 5개 결제 카드로 되죠?,결제 방법,정육점
고기 좋은 거 있나요?,신선도 문의,정육점
등급이 어떻게 되요?,등급 문의,정육점
아 그럼 이걸로 한 근만 주세요,용량별 고기 주문,정육점
요즘 고기값이 금값이네요?,가격 문의,정육점
찌개용 고기는 어딨죠,용도별 고기 주문,정육점
목살 구이용이 얼마죠,가격 문의,정육점
그것도 주세요,결제 요청,정육점
오늘 특수부위 있나요?,특수부위 문의주문,정육점
그러면 토시살로 주세요,부위별 고기 주문,정육점
삼겹살 한 근에 얼마죠?,가격 문의,정육점
국산이에요?,원산지 문의,정육점
호주산도 있나요?,원산지 문의,정육점
호주산으로 두 근 주세요,용량별 고기 주문,정육점
찌개거리 할 만한 고기 있을까요?,용도별 고기 문의,정육점
네 성인 2명이서 먹으려면 양은 어느 정도 사야 할까요?,0인분 용량 문의,정육점
그럼 앞다리 300 그램이랑 삼겹살 반근 주세요,부위별 고기 주문,정육점
오겹살과 목살 각각 3인분 씩 부탁드립니다.,부위별 고기 주문,정육점
얇게 해주세요.,고기 썰기 주문,정육점
혹시 카드결제도 가능한가요?,결제 방법,정육점
삼겹살도 3인분 추가해주세요.,포장시 추가 품목,정육점
삼겹살 2줄도 파나요?,용량별 고기 주문,정육점
자취하는 학생인데 그럼 반근은 안될까요?,용량별 고기 주문,정육점
삼성페이로 결제 가능한가요?,카카오페이삼성페이 문의,정육점
영수증은 버려주세요,영수증 처리 요청,정육점
돼지고기 있나요?,부위별 고기 주문,정육점
어느 부위가 제일 잘 팔리나요?,인기부위 문의주문,정육점
손질도 해 주시나요?,용도별 손질 주문,정육점
냉장보관 해야하나요?,냉장포장 문의요청,정육점
카드로 결제 가능한가요?,결제 방법,정육점
살치살 있나요?,부위별 고기 주문,정육점
호주산은 g당 얼마죠?,가격 문의,정육점
한우는 g당 얼마에요?,가격 문의,정육점
한우 조금만 깎아주실 수 없나요?,가격 할인 요청,정육점
그럼 한우 갈비살은 g당 얼마인가요?,가격 문의,정육점
한우 국거리 있나요?,용도별 고기 주문,정육점
5명이 먹으려 하는데 몇 그램정도 필요한가요?,0인분 용량 문의,정육점
네 그렇게 주세요,용량별 고기 주문,정육점
네 바로 끓여 먹을 수 있게 잘라 주세요,고기 썰기 주문,정육점
카드 할부 가능한가요?,카드 할부 문의,정육점
소고기 100g에 얼마인가요?,가격 문의,정육점
국내산인가요?,원산지 문의,정육점
500g 포장 해 주세요.,용량별 고기 주문,정육점
찌개용으로 썰어 주실수 있나요?,고기 썰기 주문,정육점
카드 결제 할게요.,결제 방법,정육점
삼겹살 500그램에 얼마에요?,가격 문의,정육점
얇게 썰어주실수 있나요?,고기 썰기 주문,정육점
소고기는 무슨살이 제일 맛있어요?,인기부위 문의주문,정육점
그럼 새우살 500그램 주세요,용량별 고기 주문,정육점
현금 영수증 해주세요,현금영수증 발급 요청,정육점
오늘 도축한 고기 있나요?,입고시기 문의,정육점
소스는 얼마인가요?,소스 판매 문의,정육점
파채 같이 주실 수 있나요?,포장시 추가 품목,정육점
600g이면 몇 명 먹을 수 있나요?,0인분 용량 문의,정육점
냉동아니죠?,보관상태 문의,정육점
등갈비 가격이 어떻게 되나요?,가격 문의,정육점
네  이거 묵은지 찜에 넣을려고 하는데 괜찮은가요?,용도별 고기 주문,정육점
그럼 2kg만 주시고 제가 처음인데 간단하게 어떻게하는 알려 주실 수 있나요?,레시피 문의,정육점
돼지고기 반 근에 얼마인가요?,가격 문의,정육점
그럼 한 근은 얼마인가요?,가격 문의,정육점
한 근으로 하면 할인해주시는건가요?,가격 할인 문의,정육점
그럼 한 근으로 국거리용으로 주시겠어요?,용도별 고기 주문,정육점
그리고 목살로 주세요,용도별 고기 주문,정육점
김치찌개용 돼지고기 있나요?,용도별 고기 주문,정육점
가격은 어떻게 되나요?,가격 문의,정육점
500g 주세요,용량별 고기 주문,정육점
아 스테이크용 소고기도 필요합니다,용도별 고기 주문,정육점
등심으로 1kg주세요,부위별 고기 주문,정육점
국거리용 고기를 사고 싶은데 판매하나요?,용도별 고기 주문,정육점
삼겹살용 반 찌개용 반으로 해서 사고 싶은데 그렇게 될까요?,용도별 고기 주문,정육점
포장을 따로 하고 싶은데 가능할까요?,포장방법 요청,정육점
사골용으로 쓸 수 있는 뼈도 판매를 하나요?,용도별 고기 주문,정육점
고기 많이 샀는데 서비스로 하나 주실 수 있나요?,덤 요청,정육점
지금 시간 장사하시나요?,영업 문의,정육점
삼겹살 5kg 있나요?,부위별 고기 주문,정육점
